group,contrast,class,metric,delta_mean,delta_sd,n_seeds,note
lidar_tier,fld_chm_leafon - fld_nolidar_leafon,FSW,iou,0.0249,0.0246,3,chm gain (leafon)
lidar_tier,fld_chm_leafon - fld_nolidar_leafon,FSW,recall,0.0492,0.0332,3,chm gain (leafon)
lidar_tier,fld_chm_leafon - fld_nolidar_leafon,UPL,iou,0.0024,0.0173,3,chm gain (leafon)
lidar_tier,fld_chm_leafon - fld_nolidar_leafon,UPL,recall,-0.0084,0.0184,3,chm gain (leafon)
lidar_tier,fld_chmret_leafon - fld_chm_leafon,FSW,iou,-0.005,0.0214,3,returns gain (leafon)
lidar_tier,fld_chmret_leafon - fld_chm_leafon,FSW,recall,-0.0438,0.0376,3,returns gain (leafon)
lidar_tier,fld_chmret_leafon - fld_chm_leafon,UPL,iou,0.0057,0.0063,3,returns gain (leafon)
lidar_tier,fld_chmret_leafon - fld_chm_leafon,UPL,recall,0.0093,0.0137,3,returns gain (leafon)
lidar_tier,fld_chmret_leafon - fld_nolidar_leafon,FSW,iou,0.0199,0.0369,3,full LiDAR gain (leafon)
lidar_tier,fld_chmret_leafon - fld_nolidar_leafon,FSW,recall,0.0054,0.0059,3,full LiDAR gain (leafon)
lidar_tier,fld_chmret_leafon - fld_nolidar_leafon,UPL,iou,0.0081,0.0174,3,full LiDAR gain (leafon)
lidar_tier,fld_chmret_leafon - fld_nolidar_leafon,UPL,recall,0.0009,0.0269,3,full LiDAR gain (leafon)
lidar_tier,fld_chm_leafoff - fld_nolidar_leafoff,FSW,iou,0.0315,0.0319,3,chm gain (leafoff)
lidar_tier,fld_chm_leafoff - fld_nolidar_leafoff,FSW,recall,0.0524,0.0567,3,chm gain (leafoff)
lidar_tier,fld_chm_leafoff - fld_nolidar_leafoff,UPL,iou,0.0042,0.0042,3,chm gain (leafoff)
lidar_tier,fld_chm_leafoff - fld_nolidar_leafoff,UPL,recall,0.0001,0.0052,3,chm gain (leafoff)
lidar_tier,fld_chmret_leafoff - fld_chm_leafoff,FSW,iou,0.0083,0.0167,3,returns gain (leafoff)
lidar_tier,fld_chmret_leafoff - fld_chm_leafoff,FSW,recall,0.0006,0.0353,3,returns gain (leafoff)
lidar_tier,fld_chmret_leafoff - fld_chm_leafoff,UPL,iou,0.002,0.0051,3,returns gain (leafoff)
lidar_tier,fld_chmret_leafoff - fld_chm_leafoff,UPL,recall,-0.0026,0.0067,3,returns gain (leafoff)
lidar_tier,fld_chmret_leafoff - fld_nolidar_leafoff,FSW,iou,0.0398,0.0387,3,full LiDAR gain (leafoff)
lidar_tier,fld_chmret_leafoff - fld_nolidar_leafoff,FSW,recall,0.0531,0.0323,3,full LiDAR gain (leafoff)
