config,seed,present
fld_nolidar_leafon,0,True
fld_nolidar_leafon,1,True
fld_nolidar_leafon,2,True
fld_nolidar_leafoff,0,True
fld_nolidar_leafoff,1,True
fld_nolidar_leafoff,2,True
fld_chm_leafon,0,True
fld_chm_leafon,1,True
fld_chm_leafon,2,True
fld_chm_leafoff,0,True
fld_chm_leafoff,1,True
fld_chm_leafoff,2,True
fld_chmret_leafon,0,True
fld_chmret_leafon,1,True
fld_chmret_leafon,2,True
fld_chmret_leafoff,0,True
fld_chmret_leafoff,1,True
fld_chmret_leafoff,2,True
nwi_chmret_leafoff,0,True
nwi_chmret_leafoff,1,True
nwi_chmret_leafoff,2,True
flddeg_chmret_leafoff,0,True
flddeg_chmret_leafoff,1,True
flddeg_chmret_leafoff,2,True
