config,label,lidar,spectral,featureset,seed,macro_f1,macro_recall,macro_precision,mean_iou,overall_accuracy,in_channels,git_commit,class,precision,recall,f1,iou,support
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,0,0.7031,0.7237,0.6947,0.5623,0.8449,18,unknown,EMW,0.6339,0.5455,0.5864,0.4148,361928
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,0,0.7031,0.7237,0.6947,0.5623,0.8449,18,unknown,FSW,0.73,0.7345,0.7322,0.5775,1012552
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,0,0.7031,0.7237,0.6947,0.5623,0.8449,18,unknown,SSW,0.4804,0.7017,0.5703,0.3989,287888
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,0,0.7031,0.7237,0.6947,0.5623,0.8449,18,unknown,UPL,0.9345,0.913,0.9236,0.8581,3842656
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,1,0.6515,0.6485,0.6585,0.5112,0.8268,18,unknown,EMW,0.6129,0.5236,0.5647,0.3935,450549
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,1,0.6515,0.6485,0.6585,0.5112,0.8268,18,unknown,FSW,0.6467,0.747,0.6932,0.5305,883989
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,1,0.6515,0.6485,0.6585,0.5112,0.8268,18,unknown,SSW,0.4522,0.4123,0.4314,0.275,289442
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,1,0.6515,0.6485,0.6585,0.5112,0.8268,18,unknown,UPL,0.922,0.9111,0.9165,0.8459,3881044
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,2,0.6531,0.6897,0.6283,0.5109,0.8116,18,unknown,EMW,0.5093,0.6857,0.5845,0.4129,344124
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,2,0.6531,0.6897,0.6283,0.5109,0.8116,18,unknown,FSW,0.6248,0.7746,0.6917,0.5287,1047046
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,2,0.6531,0.6897,0.6283,0.5109,0.8116,18,unknown,SSW,0.4232,0.4373,0.4301,0.274,286541
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,2,0.6531,0.6897,0.6283,0.5109,0.8116,18,unknown,UPL,0.9559,0.861,0.906,0.8281,3827313
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,0,0.7227,0.7398,0.7089,0.5831,0.8515,22,unknown,EMW,0.6503,0.6475,0.6489,0.4802,361928
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,0,0.7227,0.7398,0.7089,0.5831,0.8515,22,unknown,FSW,0.7197,0.7506,0.7348,0.5808,1012552
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,0,0.7227,0.7398,0.7089,0.5831,0.8515,22,unknown,SSW,0.5265,0.6488,0.5813,0.4097,287888
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,0,0.7227,0.7398,0.7089,0.5831,0.8515,22,unknown,UPL,0.9391,0.9126,0.9256,0.8616,3842656
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,1,0.6251,0.6278,0.6229,0.4899,0.8238,22,unknown,EMW,0.5044,0.5467,0.5247,0.3557,450549
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,1,0.6251,0.6278,0.6229,0.4899,0.8238,22,unknown,FSW,0.6926,0.6625,0.6772,0.512,883989
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,1,0.6251,0.6278,0.6229,0.4899,0.8238,22,unknown,SSW,0.367,0.376,0.3714,0.2281,289442
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,1,0.6251,0.6278,0.6229,0.4899,0.8238,22,unknown,UPL,0.9277,0.9262,0.9269,0.8638,3881044
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,2,0.6697,0.7012,0.6454,0.5305,0.8245,22,unknown,EMW,0.5884,0.7357,0.6539,0.4857,344124
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,2,0.6697,0.7012,0.6454,0.5305,0.8245,22,unknown,FSW,0.6703,0.7024,0.6859,0.522,1047046
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,2,0.6697,0.7012,0.6454,0.5305,0.8245,22,unknown,SSW,0.3796,0.4744,0.4218,0.2672,286541
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,2,0.6697,0.7012,0.6454,0.5305,0.8245,22,unknown,UPL,0.9434,0.8922,0.9171,0.8468,3827313
fld_chm_leafon,fld,chm,leafon,chm_leafon,0,0.7256,0.7522,0.7047,0.585,0.8435,19,unknown,EMW,0.6259,0.7422,0.6791,0.5141,361928
fld_chm_leafon,fld,chm,leafon,chm_leafon,0,0.7256,0.7522,0.7047,0.585,0.8435,19,unknown,FSW,0.6772,0.8039,0.7351,0.5812,1012552
fld_chm_leafon,fld,chm,leafon,chm_leafon,0,0.7256,0.7522,0.7047,0.585,0.8435,19,unknown,SSW,0.5676,0.5795,0.5735,0.402,287888
fld_chm_leafon,fld,chm,leafon,chm_leafon,0,0.7256,0.7522,0.7047,0.585,0.8435,19,unknown,UPL,0.9481,0.8833,0.9145,0.8425,3842656
fld_chm_leafon,fld,chm,leafon,chm_leafon,1,0.6824,0.6919,0.6745,0.5446,0.8415,19,unknown,EMW,0.6373,0.6478,0.6425,0.4733,450549
fld_chm_leafon,fld,chm,leafon,chm_leafon,1,0.6824,0.6919,0.6745,0.5446,0.8415,19,unknown,FSW,0.6668,0.7578,0.7094,0.5497,883989
fld_chm_leafon,fld,chm,leafon,chm_leafon,1,0.6824,0.6919,0.6745,0.5446,0.8415,19,unknown,SSW,0.4506,0.4497,0.4502,0.2905,289442
fld_chm_leafon,fld,chm,leafon,chm_leafon,1,0.6824,0.6919,0.6745,0.5446,0.8415,19,unknown,UPL,0.9432,0.9123,0.9275,0.8648,3881044
fld_chm_leafon,fld,chm,leafon,chm_leafon,2,0.6803,0.7103,0.6592,0.5382,0.8263,19,unknown,EMW,0.566,0.5946,0.5799,0.4084,344124
fld_chm_leafon,fld,chm,leafon,chm_leafon,2,0.6803,0.7103,0.6592,0.5382,0.8263,19,unknown,FSW,0.6517,0.8419,0.7347,0.5806,1047046
fld_chm_leafon,fld,chm,leafon,chm_leafon,2,0.6803,0.7103,0.6592,0.5382,0.8263,19,unknown,SSW,0.462,0.5407,0.4982,0.3318,286541
fld_chm_leafon,fld,chm,leafon,chm_leafon,2,0.6803,0.7103,0.6592,0.5382,0.8263,19,unknown,UPL,0.9572,0.8642,0.9083,0.832,3827313
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,0,0.7294,0.7513,0.7109,0.5905,0.8531,23,unknown,EMW,0.6429,0.7096,0.6746,0.509,361928
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,0,0.7294,0.7513,0.7109,0.5905,0.8531,23,unknown,FSW,0.7258,0.7399,0.7328,0.5783,1012552
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,0,0.7294,0.7513,0.7109,0.5905,0.8531,23,unknown,SSW,0.5344,0.6434,0.5839,0.4123,287888
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,0,0.7294,0.7513,0.7109,0.5905,0.8531,23,unknown,UPL,0.9406,0.9122,0.9262,0.8625,3842656
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,1,0.6644,0.674,0.6592,0.5281,0.8383,23,unknown,EMW,0.6309,0.5648,0.596,0.4245,450549
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,1,0.6644,0.674,0.6592,0.5281,0.8383,23,unknown,FSW,0.6864,0.7313,0.7081,0.5481,883989
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,1,0.6644,0.674,0.6592,0.5281,0.8383,23,unknown,SSW,0.3763,0.4786,0.4214,0.2669,289442
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,1,0.6644,0.674,0.6592,0.5281,0.8383,23,unknown,UPL,0.943,0.9213,0.932,0.8727,3881044
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,2,0.7018,0.711,0.6957,0.5628,0.8432,23,unknown,EMW,0.6481,0.671,0.6594,0.4918,344124
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,2,0.7018,0.711,0.6957,0.5628,0.8432,23,unknown,FSW,0.6812,0.8016,0.7365,0.5829,1047046
