config,seed,present
fld_nolidar_leafon,0,True
fld_nolidar_leafon,1,True
fld_nolidar_leafon,2,True
fld_nolidar_leafon,3,True
fld_nolidar_leafon,4,True
fld_nolidar_leafoff,0,True
fld_nolidar_leafoff,1,True
fld_nolidar_leafoff,2,True
fld_nolidar_leafoff,3,True
fld_nolidar_leafoff,4,True
fld_chmret_leafon,0,True
fld_chmret_leafon,1,True
fld_chmret_leafon,2,True
fld_chmret_leafon,3,True
fld_chmret_leafon,4,True
fld_chmret_leafoff,0,True
fld_chmret_leafoff,1,True
fld_chmret_leafoff,2,True
fld_chmret_leafoff,3,True
fld_chmret_leafoff,4,True
nwi_chmret_leafoff,0,True
nwi_chmret_leafoff,1,True
nwi_chmret_leafoff,2,True
nwi_chmret_leafoff,3,True
nwi_chmret_leafoff,4,True
nwiextra_chmret_leafoff,0,True
nwiextra_chmret_leafoff,1,True
nwiextra_chmret_leafoff,2,True
nwiextra_chmret_leafoff,3,True
nwiextra_chmret_leafoff,4,True
nwifield_chmret_leafoff,0,True
nwifield_chmret_leafoff,1,True
nwifield_chmret_leafoff,2,True
nwifield_chmret_leafoff,3,True
nwifield_chmret_leafoff,4,True
flddeg_chmret_leafoff,0,True
flddeg_chmret_leafoff,1,True
flddeg_chmret_leafoff,2,True
flddeg_chmret_leafoff,3,True
flddeg_chmret_leafoff,4,True
