config,seed,present
fld_nolidar_leafon,0,False
fld_nolidar_leafon,1,False
fld_nolidar_leafon,2,False
fld_nolidar_leafon,3,False
fld_nolidar_leafon,4,False
fld_nolidar_leafoff,0,False
fld_nolidar_leafoff,1,False
fld_nolidar_leafoff,2,False
fld_nolidar_leafoff,3,False
fld_nolidar_leafoff,4,False
fld_chmret_leafon,0,False
fld_chmret_leafon,1,False
fld_chmret_leafon,2,False
fld_chmret_leafon,3,False
fld_chmret_leafon,4,False
fld_chmret_leafoff,0,False
fld_chmret_leafoff,1,False
fld_chmret_leafoff,2,False
fld_chmret_leafoff,3,False
fld_chmret_leafoff,4,False
nwi_chmret_leafoff,0,False
nwi_chmret_leafoff,1,False
nwi_chmret_leafoff,2,False
nwi_chmret_leafoff,3,False
nwi_chmret_leafoff,4,False
nwiextra_chmret_leafoff,0,False
nwiextra_chmret_leafoff,1,False
nwiextra_chmret_leafoff,2,False
nwiextra_chmret_leafoff,3,False
nwiextra_chmret_leafoff,4,False
nwifield_chmret_leafoff,0,False
nwifield_chmret_leafoff,1,False
nwifield_chmret_leafoff,2,False
nwifield_chmret_leafoff,3,False
nwifield_chmret_leafoff,4,False
flddeg_chmret_leafoff,0,False
flddeg_chmret_leafoff,1,False
flddeg_chmret_leafoff,2,False
flddeg_chmret_leafoff,3,False
flddeg_chmret_leafoff,4,False
