config,label,lidar,spectral,featureset,seed,macro_f1,macro_recall,macro_precision,mean_iou,overall_accuracy,in_channels,git_commit,class,precision,recall,f1,iou,support
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,0,0.5581,0.5577249999999999,0.585025,0.4161,0.7092,18,unknown,EMW,0.4103,0.3591,0.383,0.2369,621544
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,0,0.5581,0.5577249999999999,0.585025,0.4161,0.7092,18,unknown,FSW,0.5948,0.7667,0.6699,0.5037,966100
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,0,0.5581,0.5577249999999999,0.585025,0.4161,0.7092,18,unknown,SSW,0.5112,0.2611,0.3457,0.209,566727
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,0,0.5581,0.5577249999999999,0.585025,0.4161,0.7092,18,unknown,UPL,0.8238,0.844,0.8337,0.7149,3088482
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,1,0.5684,0.590225,0.5704750000000001,0.4264,0.7016,18,unknown,EMW,0.3756,0.2353,0.2893,0.1691,532418
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,1,0.5684,0.590225,0.5704750000000001,0.4264,0.7016,18,unknown,FSW,0.6441,0.7764,0.7041,0.5433,1459626
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,1,0.5684,0.590225,0.5704750000000001,0.4264,0.7016,18,unknown,SSW,0.3807,0.5846,0.4611,0.2997,662690
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,1,0.5684,0.590225,0.5704750000000001,0.4264,0.7016,18,unknown,UPL,0.8815,0.7646,0.8189,0.6933,3440085
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,2,0.6146,0.65505,0.629875,0.4663,0.7316,18,unknown,EMW,0.3772,0.7452,0.5009,0.3341,424418
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,2,0.6146,0.65505,0.629875,0.4663,0.7316,18,unknown,FSW,0.6645,0.7401,0.7003,0.5388,1327131
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,2,0.6146,0.65505,0.629875,0.4663,0.7316,18,unknown,SSW,0.6086,0.3105,0.4112,0.2588,793850
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,2,0.6146,0.65505,0.629875,0.4663,0.7316,18,unknown,UPL,0.8692,0.8244,0.8462,0.7334,3418375
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,3,0.5726,0.5608,0.588075,0.4444,0.8157,18,unknown,EMW,0.6086,0.5758,0.5917,0.4202,639905
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,3,0.5726,0.5608,0.588075,0.4444,0.8157,18,unknown,FSW,0.631,0.5113,0.5649,0.3936,1517832
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,3,0.5726,0.5608,0.588075,0.4444,0.8157,18,unknown,SSW,0.2204,0.2215,0.2209,0.1242,317108
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,3,0.5726,0.5608,0.588075,0.4444,0.8157,18,unknown,UPL,0.8923,0.9346,0.9129,0.8398,6765731
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,4,0.5802,0.62025,0.5577,0.4421,0.7866,18,unknown,EMW,0.4267,0.6158,0.5041,0.337,549262
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,4,0.5802,0.62025,0.5577,0.4421,0.7866,18,unknown,FSW,0.4969,0.6836,0.5755,0.404,1170508
