config,label,lidar,spectral,featureset,seed,macro_f1,macro_recall,macro_precision,mean_iou,overall_accuracy,in_channels,git_commit,class,precision,recall,f1,iou,support
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,0,0.7874,0.8207,0.77555,0.6549,0.8107,21,cad2392-dirty,WET,0.6233,0.8437,0.7169,0.5587,2494572
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,0,0.7874,0.8207,0.77555,0.6549,0.8107,21,cad2392-dirty,UPL,0.9278,0.7977,0.8579,0.7511,6287252
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,1,0.8472,0.8423,0.8525499999999999,0.7411,0.8785,21,cad2392-dirty,WET,0.7968,0.76,0.778,0.6366,4221055
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,1,0.8472,0.8423,0.8525499999999999,0.7411,0.8785,21,cad2392-dirty,UPL,0.9083,0.9246,0.9164,0.8457,10852225
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,2,0.8591,0.86915,0.85075,0.7581,0.8857,21,cad2392-dirty,WET,0.7657,0.833,0.7979,0.6638,2521084
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,2,0.8591,0.86915,0.85075,0.7581,0.8857,21,cad2392-dirty,UPL,0.9358,0.9053,0.9203,0.8524,6785028
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,3,0.7935,0.7857000000000001,0.80355,0.6668,0.8317,21,cad2392-dirty,WET,0.7421,0.671,0.7048,0.5441,4511978
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,3,0.7935,0.7857000000000001,0.80355,0.6668,0.8317,21,cad2392-dirty,UPL,0.865,0.9004,0.8823,0.7894,10561302
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,4,0.8512,0.8570500000000001,0.8459000000000001,0.7466,0.8802,21,cad2392-dirty,WET,0.7657,0.8063,0.7855,0.6467,3994168
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,4,0.8512,0.8570500000000001,0.8459000000000001,0.7466,0.8802,21,cad2392-dirty,UPL,0.9261,0.9078,0.9169,0.8465,10685896
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,0,0.8204,0.8298,0.8129,0.7019,0.8498,25,cad2392-dirty,WET,0.715,0.7836,0.7477,0.5971,2494572
