config,seed,class,channel_index,geomorphon_value,geomorphon_form,mean_abs_shap
fld_chmret_leafoff,0,EMW,0,1,flat,3.7016176065662876e-05
fld_chmret_leafoff,0,EMW,1,2,peak,1.7949174662135192e-06
fld_chmret_leafoff,0,EMW,2,3,ridge,9.104253877012525e-06
fld_chmret_leafoff,0,EMW,3,4,shoulder,1.0400102837593295e-05
fld_chmret_leafoff,0,EMW,4,5,spur,1.1656696187856141e-05
fld_chmret_leafoff,0,EMW,5,6,slope,3.5140637919539586e-05
fld_chmret_leafoff,0,EMW,6,7,hollow,1.1609552529989742e-05
fld_chmret_leafoff,0,EMW,7,8,footslope,2.1222000214038417e-05
fld_chmret_leafoff,0,EMW,8,9,valley,2.018265877268277e-05
fld_chmret_leafoff,0,EMW,9,10,pit,5.625720859825378e-06
fld_chmret_leafoff,0,FSW,0,1,flat,4.290699143894017e-05
fld_chmret_leafoff,0,FSW,1,2,peak,1.913633241201751e-06
fld_chmret_leafoff,0,FSW,2,3,ridge,1.0321760782971978e-05
fld_chmret_leafoff,0,FSW,3,4,shoulder,1.1495347280288115e-05
fld_chmret_leafoff,0,FSW,4,5,spur,1.4475785064860247e-05
fld_chmret_leafoff,0,FSW,5,6,slope,4.128833097638562e-05
fld_chmret_leafoff,0,FSW,6,7,hollow,1.4963438843551558e-05
fld_chmret_leafoff,0,FSW,7,8,footslope,2.5972200091928244e-05
fld_chmret_leafoff,0,FSW,8,9,valley,2.7180616598343477e-05
fld_chmret_leafoff,0,FSW,9,10,pit,7.986641321622301e-06
fld_chmret_leafoff,0,SSW,0,1,flat,3.819370976998471e-05
fld_chmret_leafoff,0,SSW,1,2,peak,2.3282532310986426e-06
fld_chmret_leafoff,0,SSW,2,3,ridge,1.2249098290340044e-05
fld_chmret_leafoff,0,SSW,3,4,shoulder,1.183150743599981e-05
fld_chmret_leafoff,0,SSW,4,5,spur,1.2647181392821949e-05
fld_chmret_leafoff,0,SSW,5,6,slope,4.1097304347204044e-05
fld_chmret_leafoff,0,SSW,6,7,hollow,1.1594172974582762e-05
fld_chmret_leafoff,0,SSW,7,8,footslope,2.3670932932873257e-05
fld_chmret_leafoff,0,SSW,8,9,valley,1.9996154151158407e-05
fld_chmret_leafoff,0,SSW,9,10,pit,4.281223482394125e-06
fld_chmret_leafoff,0,UPL,0,1,flat,4.1494240576867014e-05
fld_chmret_leafoff,0,UPL,1,2,peak,3.3839664865809027e-06
fld_chmret_leafoff,0,UPL,2,3,ridge,1.5615813026670367e-05
fld_chmret_leafoff,0,UPL,3,4,shoulder,1.5377596355392598e-05
fld_chmret_leafoff,0,UPL,4,5,spur,1.4732479939993937e-05
fld_chmret_leafoff,0,UPL,5,6,slope,4.2997045966330916e-05
fld_chmret_leafoff,0,UPL,6,7,hollow,1.239311859535519e-05
fld_chmret_leafoff,0,UPL,7,8,footslope,2.522288923501037e-05
fld_chmret_leafoff,0,UPL,8,9,valley,2.6466374038136564e-05
fld_chmret_leafoff,0,UPL,9,10,pit,7.094060038070893e-06
fld_chmret_leafoff,0,overall,0,1,flat,3.990277764387429e-05
fld_chmret_leafoff,0,overall,1,2,peak,2.3551924641651567e-06
fld_chmret_leafoff,0,overall,2,3,ridge,1.1822730812127702e-05
fld_chmret_leafoff,0,overall,3,4,shoulder,1.2276139386813156e-05
fld_chmret_leafoff,0,overall,4,5,spur,1.3378035873756744e-05
fld_chmret_leafoff,0,overall,5,6,slope,4.013082798337564e-05
fld_chmret_leafoff,0,overall,6,7,hollow,1.2640070053748786e-05
