config,mode,arch,seed,macro_f1,mean_iou,overall_accuracy,iou_WET,f1_WET,iou_UPL,f1_UPL,params,gflops,sec_per_epoch,epochs_run,fit_seconds
fld_chmret_leafoff,binary,mbfusion,0,0.8115,0.6912,0.8485,0.5723,0.728,0.81,0.895,162012730,143.0,14.07,46,647.4
fld_chmret_leafoff,binary,mbfusion,1,0.852,0.748,0.8817,0.6471,0.7858,0.849,0.9183,162012730,143.0,12.43,41,509.6
fld_chmret_leafoff,binary,mbfusion,2,0.8494,0.7429,0.873,0.6526,0.7898,0.8333,0.909,162012730,143.0,14.36,45,646.2
fld_chmret_leafoff,binary,mbfusion,3,0.8087,0.6884,0.8508,0.5612,0.7189,0.8156,0.8985,162012730,143.0,12.39,24,297.4
fld_chmret_leafoff,binary,mbfusion,4,0.8557,0.7539,0.8871,0.6508,0.7885,0.857,0.923,162012730,143.0,12.89,44,567.3
fld_chmret_leafoff,binary,unet,0,0.8051,0.6797,0.8313,0.5793,0.7336,0.7802,0.8765,125266498,122.0,13.88,42,583.1
fld_chmret_leafoff,binary,unet,1,0.85,0.7447,0.8784,0.6456,0.7847,0.8437,0.9153,125266498,122.0,12.23,48,587.3
fld_chmret_leafoff,binary,unet,2,0.8601,0.7597,0.8876,0.664,0.7981,0.8554,0.9221,125266498,122.0,13.8,43,593.4
fld_chmret_leafoff,binary,unet,3,0.8233,0.7073,0.8581,0.5935,0.7449,0.821,0.9017,125266498,122.0,11.6,48,556.7
fld_chmret_leafoff,binary,unet,4,0.8434,0.7357,0.8752,0.6299,0.773,0.8415,0.9139,125266498,122.0,12.71,50,635.7
fld_chmret_leafoff,binary,unet3plus,0,0.8058,0.6799,0.8282,0.5873,0.74,0.7726,0.8717,99789580,533.0,23.13,50,1156.3
fld_chmret_leafoff,binary,unet3plus,1,0.8465,0.7392,0.8735,0.6421,0.7821,0.8363,0.9109,99789580,533.0,20.13,32,644.2
fld_chmret_leafoff,binary,unet3plus,2,0.8682,0.7719,0.8943,0.6801,0.8096,0.8636,0.9268,99789580,533.0,24.45,31,757.8
fld_chmret_leafoff,binary,unet3plus,3,0.7964,0.6715,0.8381,0.5434,0.7042,0.7995,0.8886,99789580,533.0,19.83,25,495.6
fld_chmret_leafoff,binary,unet3plus,4,0.8459,0.7389,0.8753,0.6374,0.7786,0.8404,0.9133,99789580,533.0,21.44,46,986.1
