config,mode,arch,seed,macro_f1,mean_iou,overall_accuracy,iou_EMW,f1_EMW,iou_FSW,f1_FSW,iou_SSW,f1_SSW,iou_UPL,f1_UPL,conf_FSW_as_UPL,conf_UPL_as_FSW,conf_FSW_UPL_swap,params,gflops,sec_per_epoch,epochs_run,fit_seconds
fld_chmret_leafoff,multiclass,mbfusion,0,0.6548,0.5102,0.7933,0.554,0.713,0.2777,0.4347,0.4139,0.5854,0.7953,0.886,0.48870652509942486,0.07949562066225435,0.14254195651489476,162012860,143.0,14.21,41,582.5
fld_chmret_leafoff,multiclass,mbfusion,1,0.6682,0.524,0.8235,0.4863,0.6543,0.4231,0.5946,0.3389,0.5062,0.8478,0.9176,0.2766346949017169,0.07057704756397881,0.10614042250586293,162012860,143.0,12.48,47,586.4
fld_chmret_leafoff,multiclass,mbfusion,2,0.6715,0.5287,0.8213,0.525,0.6885,0.4338,0.6051,0.3145,0.4785,0.8413,0.9138,0.182611640708612,0.09311619642542374,0.10567184595850392,162012860,143.0,14.51,44,638.5
fld_chmret_leafoff,multiclass,mbfusion,3,0.6379,0.4915,0.8015,0.4611,0.6311,0.4191,0.5907,0.2801,0.4376,0.8056,0.8924,0.3075691249110867,0.0622058719654073,0.09908811117247848,162012860,143.0,12.53,36,451.1
fld_chmret_leafoff,multiclass,mbfusion,4,0.6555,0.5096,0.8172,0.4012,0.5726,0.368,0.538,0.4229,0.5944,0.8465,0.9169,0.27098668016450045,0.07630029339608022,0.1103376897679167,162012860,143.0,12.89,50,644.3
fld_chmret_leafoff,multiclass,unet,0,0.599,0.4527,0.7512,0.4897,0.6574,0.2618,0.4149,0.2976,0.4587,0.7617,0.8647,0.3522547651442774,0.09996609011377308,0.13883572033457037,125266628,122.0,13.98,50,699.2
fld_chmret_leafoff,multiclass,unet,1,0.6434,0.497,0.8101,0.4373,0.6085,0.3753,0.5458,0.3428,0.5106,0.8326,0.9086,0.3593479420974138,0.07091301553368089,0.12069383935774387,125266628,122.0,12.56,50,628.2
fld_chmret_leafoff,multiclass,unet,2,0.6569,0.5148,0.814,0.5405,0.7017,0.4033,0.5748,0.2854,0.444,0.8301,0.9071,0.24172917221728,0.09850924712469868,0.11860210436474304,125266628,122.0,14.09,48,676.2
fld_chmret_leafoff,multiclass,unet,3,0.6155,0.4728,0.8008,0.4694,0.6389,0.3677,0.5377,0.241,0.3884,0.8131,0.8969,0.3788003915664424,0.047045146516973,0.09691356063040968,125266628,122.0,11.97,40,478.9
fld_chmret_leafoff,multiclass,unet,4,0.6105,0.4656,0.7961,0.3229,0.4881,0.3371,0.5042,0.3717,0.542,0.8309,0.9076,0.29700225302519756,0.0834732061775634,0.12080490114141638,125266628,122.0,12.8,50,640.2
fld_chmret_leafoff,multiclass,unet3plus,0,0.5969,0.4423,0.7282,0.4138,0.5854,0.3585,0.5278,0.2838,0.4421,0.713,0.8325,0.23961431717792375,0.145908896287281,0.16034590999494372,99797528,533.0,23.3,32,745.6
fld_chmret_leafoff,multiclass,unet3plus,1,0.6629,0.5141,0.8055,0.4099,0.5814,0.3999,0.5713,0.425,0.5965,0.8217,0.9021,0.2583713837389294,0.10226474294441923,0.1292071014019713,99797528,533.0,20.41,26,530.8
fld_chmret_leafoff,multiclass,unet3plus,2,0.6472,0.5009,0.7908,0.5,0.6667,0.4172,0.5887,0.2851,0.4437,0.8013,0.8897,0.13793458479907156,0.12508260835474813,0.12688566004452714,99797528,533.0,24.75,28,693.1
fld_chmret_leafoff,multiclass,unet3plus,3,0.602,0.4642,0.7965,0.4871,0.6551,0.3988,0.5702,0.1733,0.2954,0.7976,0.8874,0.3575473682464021,0.05814576649735042,0.10315088181970676,99797528,533.0,19.96,27,538.9
fld_chmret_leafoff,multiclass,unet3plus,4,0.6452,0.4964,0.7926,0.3807,0.5514,0.3559,0.525,0.4361,0.6074,0.8131,0.8969,0.2140970209803862,0.11899760207286314,0.13562401684082032,99797528,533.0,21.58,45,971.2
