config,mode,arch,seed,macro_f1,mean_iou,overall_accuracy,iou_WET,f1_WET,iou_UPL,f1_UPL,params,gflops,sec_per_epoch,epochs_run,fit_seconds
fld_chmret_leafoff,binary,unet,0,0.8387,0.7226,0.8403,0.6991,0.8229,0.7461,0.8546,125292637,122.0,,,
fld_chmret_leafoff,binary,unet,1,0.8425,0.7281,0.8437,0.7077,0.8288,0.7485,0.8561,125292637,122.0,,,
fld_chmret_leafoff,binary,unet,2,0.8392,0.723,0.8397,0.7092,0.8299,0.7368,0.8484,125292637,122.0,,,
fld_chmret_leafoff,binary,unet,3,0.8297,0.7171,0.8678,0.5988,0.7491,0.8353,0.9103,125292637,122.0,,,
fld_chmret_leafoff,binary,unet,4,0.8349,0.7229,0.8651,0.6185,0.7643,0.8273,0.9055,125292637,122.0,,,
fld_chmret_leafoff,binary,unet3plus,0,0.8541,0.7463,0.8589,0.7058,0.8275,0.7868,0.8807,99819333,,,,
fld_chmret_leafoff,binary,unet3plus,1,0.8384,0.722,0.8396,0.7006,0.8239,0.7433,0.8528,99819333,,,,
fld_chmret_leafoff,binary,unet3plus,2,0.8272,0.7054,0.8273,0.6987,0.8227,0.712,0.8318,99819333,,,,
fld_chmret_leafoff,binary,unet3plus,3,0.8122,0.695,0.862,0.5571,0.7155,0.833,0.9089,99819333,,,,
fld_chmret_leafoff,binary,unet3plus,4,0.8413,0.7326,0.8727,0.6271,0.7709,0.838,0.9118,99819333,,,,
