config,mode,arch,seed,macro_f1,mean_iou,overall_accuracy,iou_EMW,f1_EMW,iou_FSW,f1_FSW,iou_SSW,f1_SSW,iou_UPL,f1_UPL,conf_FSW_as_UPL,conf_UPL_as_FSW,conf_FSW_UPL_swap,params,gflops,sec_per_epoch,epochs_run,fit_seconds
fld_chmret_leafoff,multiclass,unet,0,0.6705,0.5229,0.7669,0.5027,0.669,0.5175,0.682,0.2973,0.4584,0.7741,0.8726,0.1764744850429562,0.0731436997204452,0.0977647017621052,125292767,122.0,,,
fld_chmret_leafoff,multiclass,unet,1,0.6729,0.5177,0.7453,0.3822,0.553,0.544,0.7047,0.4266,0.5981,0.718,0.8358,0.17987210422395875,0.1198301786147726,0.13771669390296692,125292767,122.0,,,
fld_chmret_leafoff,multiclass,unet,2,0.6013,0.4477,0.6994,0.2552,0.4067,0.4873,0.6553,0.3555,0.5245,0.6929,0.8186,0.15802584673253808,0.11966182762277398,0.13039073177865543,125292767,122.0,,,
fld_chmret_leafoff,multiclass,unet,3,0.6778,0.5332,0.8373,0.4805,0.6491,0.4802,0.6489,0.3347,0.5015,0.8374,0.9115,0.30132715610159755,0.06000785428802889,0.10422580235099317,125292767,122.0,,,
fld_chmret_leafoff,multiclass,unet,4,0.6262,0.4823,0.7994,0.4331,0.6044,0.4314,0.6027,0.2499,0.3998,0.8149,0.898,0.15395366798005652,0.1179887588818817,0.12333709435558265,125292767,122.0,,,
fld_chmret_leafoff,multiclass,unet3plus,0,0.6805,0.5255,0.7537,0.458,0.6282,0.484,0.6523,0.4188,0.5903,0.7412,0.8513,0.09381430493737708,0.11223215806341108,0.10784366921177078,99827281,,,,
fld_chmret_leafoff,multiclass,unet3plus,1,0.6771,0.5311,0.7788,0.2978,0.4589,0.5722,0.7279,0.481,0.6496,0.7732,0.8721,0.2002547227851518,0.08280376793015289,0.11779245755514968,99827281,,,,
fld_chmret_leafoff,multiclass,unet3plus,2,0.6544,0.5009,0.739,0.3239,0.4893,0.5285,0.6916,0.4211,0.5927,0.7301,0.844,0.09597922134288175,0.136093026657403,0.12487477626200452,99827281,,,,
fld_chmret_leafoff,multiclass,unet3plus,3,0.6595,0.5122,0.8203,0.3895,0.5606,0.4968,0.6638,0.3469,0.5151,0.8158,0.8986,0.23219170501083125,0.08545817148213548,0.11234477241254759,99827281,,,,
fld_chmret_leafoff,multiclass,unet3plus,4,0.6429,0.4958,0.7981,0.4458,0.6167,0.4399,0.611,0.291,0.4508,0.8065,0.8929,0.11810598475191968,0.12934315079338665,0.12767207375550543,99827281,,,,
