config,level,seed,macro_f1,mean_iou,overall_accuracy,train_patches,val_patches,test_patches,n_patches_requested,iou_EMW,iou_FSW,iou_SSW,iou_UPL
fld_chmret_leafoff,100,0,0.6137,0.4668,0.7719,70,15,15,100.0,0.275,0.4723,0.3362,0.7836
fld_chmret_leafoff,100,1,0.581,0.445,0.7754,70,15,15,100.0,0.254,0.5062,0.2165,0.8033
fld_chmret_leafoff,100,2,0.6378,0.4904,0.7922,70,15,15,100.0,0.3803,0.4987,0.291,0.7916
fld_chmret_leafoff,200,0,0.6569,0.5109,0.8069,140,30,30,200.0,0.326,0.5377,0.3733,0.8066
fld_chmret_leafoff,200,1,0.6056,0.4677,0.793,140,30,30,200.0,0.3262,0.5092,0.2156,0.8197
fld_chmret_leafoff,200,2,0.6633,0.521,0.811,140,30,30,200.0,0.456,0.5318,0.2737,0.8223
fld_chmret_leafoff,300,0,0.7154,0.5727,0.8372,210,45,45,300.0,0.5073,0.5497,0.3958,0.8382
fld_chmret_leafoff,300,1,0.6573,0.5178,0.8352,210,45,45,300.0,0.3707,0.5369,0.302,0.8618
fld_chmret_leafoff,300,2,0.6778,0.5358,0.8265,210,45,45,300.0,0.4782,0.5151,0.3063,0.8438
fld_chmret_leafoff,400,0,0.6963,0.5511,0.8268,280,60,60,400.0,0.4886,0.4833,0.3932,0.8391
fld_chmret_leafoff,400,1,0.6538,0.5147,0.8325,280,60,60,400.0,0.3581,0.5412,0.2992,0.8604
fld_chmret_leafoff,400,2,0.7232,0.5863,0.8537,280,60,60,400.0,0.5326,0.5975,0.3565,0.8587
fld_chmret_leafoff,500,0,0.7443,0.6072,0.8593,350,75,75,500.0,0.5567,0.561,0.4422,0.8691
fld_chmret_leafoff,500,1,0.6796,0.5428,0.846,350,75,75,500.0,0.4184,0.5742,0.3031,0.8756
fld_chmret_leafoff,500,2,0.7376,0.6036,0.8626,350,75,75,500.0,0.5798,0.5975,0.3688,0.8684
fld_chmret_leafoff,full,0,0.7552,0.6205,0.8606,387,83,84,,0.5861,0.5908,0.4411,0.8639
fld_chmret_leafoff,full,1,0.6813,0.5427,0.8396,387,83,84,,0.4608,0.538,0.3022,0.87
fld_chmret_leafoff,full,2,0.7243,0.5874,0.8541,387,83,84,,0.525,0.6055,0.3619,0.8571
