config,level,seed,macro_f1,mean_iou,overall_accuracy,train_patches,val_patches,test_patches,n_patches_requested,iou_WET,f1_WET,precision_WET,recall_WET,iou_UPL,f1_UPL,precision_UPL,recall_UPL
fld_chmret_leafoff,100,0,0.831,0.7113,0.8332,100,102,80,100.0,0.683,0.8117,0.757,0.8749,0.7395,0.8503,0.9021,0.8041
fld_chmret_leafoff,100,1,0.7353,0.585,0.7492,100,114,93,100.0,0.509,0.6746,0.7757,0.5968,0.6611,0.796,0.7359,0.8668
fld_chmret_leafoff,100,2,0.7749,0.6325,0.7752,100,105,91,100.0,0.6203,0.7657,0.6898,0.8603,0.6448,0.784,0.8725,0.7119
fld_chmret_leafoff,100,3,0.804,0.6834,0.8526,100,112,141,100.0,0.546,0.7063,0.7569,0.6621,0.8208,0.9016,0.8818,0.9222
fld_chmret_leafoff,100,4,0.8147,0.6953,0.8501,100,114,138,100.0,0.5796,0.7339,0.6794,0.7979,0.811,0.8956,0.9247,0.8683
fld_chmret_leafoff,200,0,0.842,0.7276,0.8446,200,102,80,200.0,0.6971,0.8215,0.7781,0.8701,0.7582,0.8625,0.9013,0.8269
fld_chmret_leafoff,200,1,0.8354,0.7179,0.8383,200,114,93,200.0,0.6855,0.8134,0.8178,0.8091,0.7503,0.8574,0.8539,0.8609
fld_chmret_leafoff,200,2,0.8015,0.669,0.8022,200,105,91,200.0,0.653,0.79,0.7222,0.8719,0.685,0.813,0.8872,0.7503
fld_chmret_leafoff,200,3,0.8262,0.7128,0.868,200,112,141,200.0,0.5885,0.7409,0.7807,0.705,0.8372,0.9114,0.8958,0.9276
fld_chmret_leafoff,200,4,0.8385,0.7298,0.8769,200,114,138,200.0,0.6126,0.7598,0.7682,0.7516,0.8471,0.9172,0.9138,0.9207
fld_chmret_leafoff,300,0,0.8602,0.7554,0.8639,300,102,80,300.0,0.7203,0.8374,0.8225,0.8529,0.7905,0.883,0.8947,0.8716
fld_chmret_leafoff,300,1,0.8359,0.7183,0.8371,300,114,93,300.0,0.6976,0.8219,0.7846,0.8629,0.739,0.8499,0.8853,0.8172
fld_chmret_leafoff,300,2,0.8464,0.7338,0.847,300,105,91,300.0,0.7194,0.8368,0.768,0.9191,0.7482,0.856,0.9294,0.7933
fld_chmret_leafoff,300,3,0.8282,0.7146,0.8648,300,112,141,300.0,0.5986,0.7489,0.745,0.7528,0.8306,0.9075,0.9092,0.9058
fld_chmret_leafoff,300,4,0.8485,0.7429,0.8789,300,114,138,300.0,0.6401,0.7805,0.7357,0.8312,0.8457,0.9164,0.9382,0.8956
fld_chmret_leafoff,400,0,0.8445,0.7317,0.8489,400,102,80,400.0,0.6925,0.8183,0.8088,0.828,0.771,0.8707,0.878,0.8635
fld_chmret_leafoff,400,1,0.8279,0.7067,0.8295,400,114,93,400.0,0.6826,0.8114,0.7831,0.8417,0.7309,0.8445,0.8704,0.8201
fld_chmret_leafoff,400,2,0.797,0.6626,0.7973,400,105,91,400.0,0.6515,0.789,0.71,0.8877,0.6737,0.805,0.8972,0.73
fld_chmret_leafoff,400,3,0.8128,0.6948,0.8579,400,112,141,400.0,0.5636,0.7209,0.7608,0.685,0.826,0.9047,0.8888,0.9212
fld_chmret_leafoff,400,4,0.8547,0.7518,0.8835,400,114,138,400.0,0.6529,0.79,0.7412,0.8456,0.8508,0.9194,0.9432,0.8967
fld_chmret_leafoff,500,0,0.8645,0.7619,0.8679,500,102,80,500.0,0.7286,0.843,0.8236,0.8633,0.7952,0.8859,0.9013,0.871
fld_chmret_leafoff,500,1,0.8425,0.7281,0.8437,485,114,93,500.0,0.7077,0.8288,0.7923,0.8689,0.7485,0.8561,0.8907,0.8242
fld_chmret_leafoff,500,2,0.8392,0.723,0.8397,496,105,91,500.0,0.7092,0.8299,0.7585,0.9161,0.7368,0.8484,0.9261,0.7828
fld_chmret_leafoff,500,3,0.8297,0.7171,0.8678,439,112,141,500.0,0.5988,0.7491,0.7619,0.7366,0.8353,0.9103,0.9048,0.9158
fld_chmret_leafoff,500,4,0.8349,0.7229,0.8651,440,114,138,500.0,0.6185,0.7643,0.6983,0.8441,0.8273,0.9055,0.9412,0.8724
fld_chmret_leafoff,full,0,0.8387,0.7226,0.8403,510,102,80,,0.6991,0.8229,0.7558,0.9031,0.7461,0.8546,0.9217,0.7965
fld_chmret_leafoff,full,1,0.8425,0.7281,0.8437,485,114,93,,0.7077,0.8288,0.7923,0.8689,0.7485,0.8561,0.8907,0.8242
fld_chmret_leafoff,full,2,0.8392,0.723,0.8397,496,105,91,,0.7092,0.8299,0.7585,0.9161,0.7368,0.8484,0.9261,0.7828
fld_chmret_leafoff,full,3,0.8297,0.7171,0.8678,439,112,141,,0.5988,0.7491,0.7619,0.7366,0.8353,0.9103,0.9048,0.9158
fld_chmret_leafoff,full,4,0.8349,0.7229,0.8651,440,114,138,,0.6185,0.7643,0.6983,0.8441,0.8273,0.9055,0.9412,0.8724
