config,level,seed,macro_f1,mean_iou,overall_accuracy,train_patches,val_patches,test_patches,n_patches_requested,iou_EMW,f1_EMW,precision_EMW,recall_EMW,iou_FSW,f1_FSW,precision_FSW,recall_FSW,iou_SSW,f1_SSW,precision_SSW,recall_SSW,iou_UPL,f1_UPL,precision_UPL,recall_UPL
fld_chmret_leafoff,100,0,0.6118,0.4628,0.7224,100,102,80,100.0,0.4043,0.5758,0.4797,0.72,0.4697,0.6392,0.6796,0.6034,0.2345,0.3799,0.3745,0.3855,0.7426,0.8523,0.8849,0.822
fld_chmret_leafoff,100,1,0.5529,0.4107,0.7006,100,114,93,100.0,0.2796,0.437,0.3974,0.4854,0.5008,0.6674,0.5718,0.8013,0.1681,0.2878,0.5955,0.1897,0.6943,0.8196,0.852,0.7895
fld_chmret_leafoff,100,2,0.5515,0.3894,0.6129,100,105,91,100.0,0.2783,0.4354,0.3021,0.7794,0.4288,0.6003,0.4929,0.7673,0.2968,0.4577,0.4796,0.4378,0.5536,0.7127,0.9424,0.573
fld_chmret_leafoff,100,3,0.5303,0.3998,0.7787,100,112,141,100.0,0.17,0.2906,0.5266,0.2007,0.4282,0.5996,0.5697,0.6328,0.2104,0.3477,0.2639,0.5095,0.7908,0.8831,0.8876,0.8788
fld_chmret_leafoff,100,4,0.5657,0.4221,0.7517,100,114,138,100.0,0.2675,0.422,0.3523,0.5262,0.4228,0.5944,0.4958,0.7417,0.235,0.3806,0.351,0.4158,0.7631,0.8656,0.9386,0.8032
fld_chmret_leafoff,200,0,0.6326,0.4803,0.7235,200,102,80,200.0,0.4628,0.6327,0.5213,0.8048,0.5012,0.6678,0.5788,0.7891,0.2522,0.4028,0.4797,0.3472,0.705,0.827,0.9131,0.7557
fld_chmret_leafoff,200,1,0.6007,0.4531,0.7239,200,114,93,200.0,0.2678,0.4225,0.4448,0.4023,0.5169,0.6815,0.6189,0.7582,0.2898,0.4494,0.4337,0.4663,0.738,0.8492,0.8939,0.8088
fld_chmret_leafoff,200,2,0.5664,0.4084,0.6407,200,105,91,200.0,0.2485,0.3981,0.2722,0.7411,0.4418,0.6128,0.5527,0.6876,0.3248,0.4903,0.4808,0.5003,0.6185,0.7643,0.9425,0.6427
fld_chmret_leafoff,200,3,0.6237,0.4782,0.8083,200,112,141,200.0,0.368,0.538,0.6508,0.4586,0.4546,0.625,0.5986,0.6539,0.2783,0.4355,0.3573,0.5573,0.8121,0.8963,0.905,0.8878
fld_chmret_leafoff,200,4,0.5845,0.4412,0.7823,200,114,138,200.0,0.2821,0.4401,0.562,0.3616,0.4212,0.5927,0.4597,0.8342,0.264,0.4178,0.4719,0.3748,0.7975,0.8874,0.9333,0.8457
fld_chmret_leafoff,300,0,0.6913,0.54,0.7651,300,102,80,300.0,0.5246,0.6882,0.5743,0.8586,0.5092,0.6748,0.6709,0.6787,0.3727,0.543,0.5352,0.5511,0.7533,0.8593,0.9117,0.8126
fld_chmret_leafoff,300,1,0.6374,0.4862,0.7354,300,114,93,300.0,0.2871,0.4461,0.4417,0.4506,0.5413,0.7024,0.6649,0.7444,0.3862,0.5572,0.476,0.6719,0.7301,0.844,0.9088,0.7879
fld_chmret_leafoff,300,2,0.5921,0.4347,0.6747,300,105,91,300.0,0.3138,0.4777,0.339,0.8088,0.4355,0.6068,0.565,0.6552,0.3135,0.4773,0.472,0.4828,0.6761,0.8067,0.9337,0.7102
fld_chmret_leafoff,300,3,0.6805,0.536,0.8319,300,112,141,300.0,0.5132,0.6783,0.6936,0.6638,0.467,0.6367,0.6529,0.6212,0.3327,0.4993,0.4272,0.6007,0.8311,0.9078,0.9096,0.9059
fld_chmret_leafoff,300,4,0.6277,0.4807,0.7945,300,114,138,300.0,0.413,0.5846,0.5643,0.6065,0.4316,0.603,0.4827,0.8031,0.2767,0.4335,0.5307,0.3664,0.8014,0.8898,0.9355,0.8483
fld_chmret_leafoff,400,0,0.6612,0.5113,0.7593,400,102,80,400.0,0.4843,0.6526,0.5532,0.7954,0.4957,0.6628,0.6574,0.6683,0.3016,0.4635,0.5392,0.4064,0.7638,0.8661,0.8879,0.8452
fld_chmret_leafoff,400,1,0.6431,0.4866,0.7256,400,114,93,400.0,0.341,0.5086,0.4493,0.5859,0.5289,0.6919,0.6303,0.7668,0.3797,0.5504,0.5428,0.5583,0.6968,0.8213,0.8907,0.762
fld_chmret_leafoff,400,2,0.5433,0.3919,0.6461,400,105,91,400.0,0.2588,0.4111,0.2993,0.6566,0.4036,0.5751,0.5207,0.6423,0.2421,0.3898,0.4063,0.3746,0.6629,0.7973,0.9103,0.7093
fld_chmret_leafoff,400,3,0.6854,0.5409,0.8367,400,112,141,400.0,0.4964,0.6635,0.7124,0.6208,0.4929,0.6603,0.6504,0.6705,0.3409,0.5085,0.468,0.5567,0.8335,0.9092,0.9109,0.9075
fld_chmret_leafoff,400,4,0.6231,0.4809,0.8025,400,114,138,400.0,0.4437,0.6147,0.5486,0.6989,0.4395,0.6106,0.4976,0.79,0.2268,0.3697,0.5524,0.2778,0.8138,0.8973,0.9357,0.862
fld_chmret_leafoff,500,0,0.6859,0.5344,0.7632,500,102,80,500.0,0.4783,0.6471,0.5217,0.8519,0.5334,0.6957,0.721,0.6721,0.3694,0.5395,0.5331,0.546,0.7564,0.8613,0.9148,0.8137
fld_chmret_leafoff,500,1,0.6729,0.5177,0.7453,485,114,93,500.0,0.3822,0.553,0.4314,0.7702,0.544,0.7047,0.6719,0.7407,0.4266,0.5981,0.678,0.535,0.718,0.8358,0.8952,0.7838
fld_chmret_leafoff,500,2,0.6013,0.4477,0.6994,496,105,91,500.0,0.2552,0.4067,0.3203,0.5568,0.4873,0.6553,0.6014,0.7197,0.3555,0.5245,0.5241,0.5249,0.6929,0.8186,0.9015,0.7497
fld_chmret_leafoff,500,3,0.6778,0.5332,0.8373,439,112,141,500.0,0.4805,0.6491,0.7485,0.573,0.4802,0.6489,0.678,0.6221,0.3347,0.5015,0.4312,0.5993,0.8374,0.9115,0.9015,0.9217
fld_chmret_leafoff,500,4,0.6262,0.4823,0.7994,440,114,138,500.0,0.4331,0.6044,0.5629,0.6525,0.4314,0.6027,0.4764,0.8203,0.2499,0.3998,0.5391,0.3177,0.8149,0.898,0.9484,0.8527
fld_chmret_leafoff,full,0,0.6705,0.5229,0.7669,510,102,80,,0.5027,0.669,0.5564,0.839,0.5175,0.682,0.6707,0.6937,0.2973,0.4584,0.525,0.4068,0.7741,0.8726,0.9063,0.8414
fld_chmret_leafoff,full,1,0.6729,0.5177,0.7453,485,114,93,,0.3822,0.553,0.4314,0.7702,0.544,0.7047,0.6719,0.7407,0.4266,0.5981,0.678,0.535,0.718,0.8358,0.8952,0.7838
fld_chmret_leafoff,full,2,0.6013,0.4477,0.6994,496,105,91,,0.2552,0.4067,0.3203,0.5568,0.4873,0.6553,0.6014,0.7197,0.3555,0.5245,0.5241,0.5249,0.6929,0.8186,0.9015,0.7497
fld_chmret_leafoff,full,3,0.6778,0.5332,0.8373,439,112,141,,0.4805,0.6491,0.7485,0.573,0.4802,0.6489,0.678,0.6221,0.3347,0.5015,0.4312,0.5993,0.8374,0.9115,0.9015,0.9217
fld_chmret_leafoff,full,4,0.6262,0.4823,0.7994,440,114,138,,0.4331,0.6044,0.5629,0.6525,0.4314,0.6027,0.4764,0.8203,0.2499,0.3998,0.5391,0.3177,0.8149,0.898,0.9484,0.8527
